Date,WOLF RIVER AT NEW LONDON,UPPER FOX RIVER AT BERLIN,LITTLE WOLF RIVER AT ROYALTON,WAUPACA RIVER AT WAUPACA,SUM OF UPSTREAM GAGES
01-Jan-2021,"1,700","1,591",679,"1,021","4,991"
02-Jan-2021,"1,740","1,604",559,967,"4,871"
03-Jan-2021,"1,781","1,611",478,880,"4,752"
04-Jan-2021,"1,813","1,625",431,710,"4,581"
05-Jan-2021,"1,835","1,639",366,371,"4,213"
06-Jan-2021,"1,858","1,652",342,250,"4,103"
07-Jan-2021,"1,893","1,667",307,239,"4,108"
08-Jan-2021,"1,908","1,670",288,238,"4,105"
09-Jan-2021, ,"1,639", , , 
10-Jan-2021,"1,935","1,630",251,235,"4,053"
11-Jan-2021,"1,949","1,622",280,236,"4,089"
12-Jan-2021,"1,954","1,629",295,237,"4,117"
