Date,WOLF RIVER AT NEW LONDON,UPPER FOX RIVER AT BERLIN,LITTLE WOLF RIVER AT ROYALTON,WAUPACA RIVER AT WAUPACA,SUM OF UPSTREAM GAGES
01-Dec-2020,"2,658","2,170",412,287,"5,529"
02-Dec-2020,"2,588","2,108",357,270,"5,325"
03-Dec-2020,"2,506","2,057",366,274,"5,205"
04-Dec-2020,"2,398","2,016",401,270,"5,086"
05-Dec-2020,"2,293","1,973",369,270,"4,907"
06-Dec-2020,"2,188","1,922",355,268,"4,734"
07-Dec-2020,"2,094","1,879",348,265,"4,588"
08-Dec-2020,"2,025","1,833",346,266,"4,471"
09-Dec-2020,"1,986","1,792",345,265,"4,390"
10-Dec-2020,"1,956","1,759",343,265,"4,324"
11-Dec-2020,"1,928","1,746",341,266,"4,283"
12-Dec-2020,"1,875","1,743",338,265,"4,222"
13-Dec-2020,"1,847","1,752",333,263,"4,196"
14-Dec-2020,"1,820","1,719",318,260,"4,118"
15-Dec-2020,"1,696","1,671",289,286,"3,944"
16-Dec-2020,"1,548","1,637",345,346,"3,877"
17-Dec-2020,"1,524","1,617",516,389,"4,048"
18-Dec-2020,"1,579","1,627",386,319,"3,912"
19-Dec-2020,"1,616","1,685",306,266,"3,874"
20-Dec-2020,"1,663","1,647",305,248,"3,864"
21-Dec-2020,"1,665","1,604",299,249,"3,819"
22-Dec-2020,"1,656","1,574",297,249,"3,778"
23-Dec-2020,"1,687","1,534",303,251,"3,777"
24-Dec-2020,"1,723","1,520",308,252,"3,803"
25-Dec-2020,"1,792","1,562",220,350,"3,925"
26-Dec-2020,"1,783","1,604",344,807,"4,539"
27-Dec-2020,"1,705","1,541",499,900,"4,646"
28-Dec-2020,"1,675","1,523",587,"1,196","4,983"
29-Dec-2020,"1,661","1,565",654,"1,103","4,985"
30-Dec-2020,"1,650","1,572",722,"1,128","5,074"
31-Dec-2020,"1,667","1,571",723,"1,124","5,086"
