Date,WOLF RIVER AT NEW LONDON,UPPER FOX RIVER AT BERLIN,LITTLE WOLF RIVER AT ROYALTON,WAUPACA RIVER AT WAUPACA,SUM OF UPSTREAM GAGES
17-Dec-2020 00,"1,522","1,620",546,444,"4,133"
17-Dec-2020 01,"1,522","1,620",563,433,"4,140"
17-Dec-2020 02,"1,522","1,609",575,423,"4,131"
17-Dec-2020 03,"1,522","1,609",581,412,"4,127"
17-Dec-2020 04,"1,522","1,600",587,402,"4,113"
17-Dec-2020 05,"1,522","1,600",593,392,"4,108"
17-Dec-2020 06,"1,522","1,600",599,385,"4,108"
17-Dec-2020 07,"1,527","1,600",606,385,"4,119"
17-Dec-2020 08,"1,527","1,600",612,392,"4,132"
17-Dec-2020 09,"1,527","1,609",624,399,"4,161"
17-Dec-2020 10,"1,527","1,609",630,409,"4,177"
17-Dec-2020 11,"1,527","1,609",636,416,"4,190"
17-Dec-2020 12,"1,527","1,620",636,409,"4,193"
