Date,WOLF RIVER AT NEW LONDON,UPPER FOX RIVER AT BERLIN,LITTLE WOLF RIVER AT ROYALTON,WAUPACA RIVER AT WAUPACA,SUM OF UPSTREAM GAGES
07-Dec-2020 00,2115,1890,351,267,4623
07-Dec-2020 01,2111,1890,351,264,4616
07-Dec-2020 02,2106,1890,351,264,4611
07-Dec-2020 03,2102,1890,351,264,4607
07-Dec-2020 04,2098,1879,346,264,4589
07-Dec-2020 05,2098,1879,346,264,4589
07-Dec-2020 06,2093,1879,346,264,4584
07-Dec-2020 07,2089,1870,346,264,4570
07-Dec-2020 08,2085,1870,346,264,4566
07-Dec-2020 09,2080,1870,346,264,4561
07-Dec-2020 10,2076,1870,346,264,4557
07-Dec-2020 11,2076,1870,346,264,4557
07-Dec-2020 12,2072,1870,346,264,4553
07-Dec-2020 13,2067,1870,346,264,4548
07-Dec-2020 14, ,1870,346, , 
