Date,WOLF RIVER AT NEW LONDON,UPPER FOX RIVER AT BERLIN,LITTLE WOLF RIVER AT ROYALTON,WAUPACA RIVER AT WAUPACA,SUM OF UPSTREAM GAGES
10-Dec-2020 00,1964,1759,346,267,4338
10-Dec-2020 01,1959,1759,346,267,4333
10-Dec-2020 02,1959,1759,346,267,4333
10-Dec-2020 03,1959,1759,341,267,4328
10-Dec-2020 04,1959,1759,341,264,4325
10-Dec-2020 05,1955,1759,341,264,4321
10-Dec-2020 06,1955,1750,341,264,4311
10-Dec-2020 07,1955,1750,341,264,4311
10-Dec-2020 08,1955,1750,341,264,4311
10-Dec-2020 09,1951,1750,341,264,4307
10-Dec-2020 10,1951,1750,341,264,4307
10-Dec-2020 11,1951,1750,341,264,4307
10-Dec-2020 12,1951,1750,341,264,4307
10-Dec-2020 13,1946,1750,341,264,4302
10-Dec-2020 14,1946,1750,337,264,4298
10-Dec-2020 15,1946,1750,337,264,4298
10-Dec-2020 16,1946,1750,337,264,4298
10-Dec-2020 17, ,1750,341, , 
