Date,OSHKOSH,STOCKBRIDGE,FOND DU LAC,MENASHA,Average,POYGAN*,NEENAH TAINTER GATES,NEENAH NEEDLE GATES,MENASHA TAINTER GATES
01-Jan-2021,2.14,2.02,2.28,2.11,2.14,2.40,2.00, , 
02-Jan-2021,2.12,1.99,2.25,2.09,2.11,2.39,2.00, , 
03-Jan-2021,2.10,1.97,2.23,2.08,2.09,2.38,2.00, , 
04-Jan-2021,2.08,1.96,2.21,2.06,2.08,2.36,2.00, , 
05-Jan-2021,2.07,1.95,2.21,2.05,2.07,2.35, , , 
06-Jan-2021,2.07,1.95,2.21,2.05,2.07,2.34, , , 
07-Jan-2021,2.07,1.95,2.20,2.04,2.06,2.33, , , 
08-Jan-2021,2.06,1.95,2.19,2.04,2.06,2.33, , , 
09-Jan-2021, , , , , ,2.33, , , 
10-Jan-2021,2.06,1.93,2.20,2.06,2.06,2.33, , , 
11-Jan-2021,2.06,1.93,2.18,2.04,2.05,2.34, , , 
12-Jan-2021,2.05,1.93,2.17,2.04,2.05,2.33, , , 
