Date,OSHKOSH
05-Jan-21 00,3109.00
05-Jan-21 01,3159.00
05-Jan-21 02,3029.00
05-Jan-21 03,3299.00
05-Jan-21 04,3209.00
05-Jan-21 05,2970.00
05-Jan-21 06,2929.00
05-Jan-21 07,2859.00
05-Jan-21 08,2780.00
05-Jan-21 09,3050.00
05-Jan-21 10,2830.00
05-Jan-21 11,3100.00
05-Jan-21 12,2909.00
05-Jan-21 13,3040.00
05-Jan-21 14,2950.00
05-Jan-21 15,2340.00
05-Jan-21 16,2770.00
05-Jan-21 17,2730.00
05-Jan-21 18,2560.00
05-Jan-21 19,2600.00
05-Jan-21 20,2439.00
05-Jan-21 21,2330.00
05-Jan-21 22,2040.00
05-Jan-21 23,2149.00
06-Jan-21 00,2010.00
06-Jan-21 01,1959.00
06-Jan-21 02,1580.00
06-Jan-21 03,1870.00
06-Jan-21 04,1659.00
06-Jan-21 05,1909.00
06-Jan-21 06,2029.00
06-Jan-21 07,1929.00
06-Jan-21 08,1750.00
06-Jan-21 09,1990.00
06-Jan-21 10,2049.00
06-Jan-21 11,2140.00
06-Jan-21 12,2110.00
06-Jan-21 13,1959.00
06-Jan-21 14,2659.00
06-Jan-21 15,2560.00
06-Jan-21 16,2460.00
06-Jan-21 17,2449.00
06-Jan-21 18,2900.00
06-Jan-21 19,2870.00
06-Jan-21 20,2330.00
06-Jan-21 21,2800.00
06-Jan-21 22,2460.00
06-Jan-21 23,2010.00
07-Jan-21 00,2249.00
07-Jan-21 01,2530.00
07-Jan-21 02,2480.00
07-Jan-21 03,2330.00
07-Jan-21 04,2689.00
07-Jan-21 05,3120.00
07-Jan-21 06,1929.00
07-Jan-21 07,2249.00
07-Jan-21 08,2299.00
07-Jan-21 09,2669.00
07-Jan-21 10,2179.00
07-Jan-21 11,2389.00
07-Jan-21 12,2190.00
07-Jan-21 13,2199.00
07-Jan-21 14,1879.00
07-Jan-21 15,2410.00
07-Jan-21 16,2199.00
07-Jan-21 17,2010.00
07-Jan-21 18,2500.00
