Date,OSHKOSH,STOCKBRIDGE,FOND DU LAC,MENASHA,Average,POYGAN*
15-Dec-20 00,2.38,2.27,2.58,2.21,2.36,2.60
15-Dec-20 01,2.35,2.26,2.56,2.22,2.35,2.60
15-Dec-20 02,2.39,2.23,2.49,2.22,2.33,2.60
15-Dec-20 03,2.38,2.26,2.61,2.22,2.37,2.60
15-Dec-20 04,2.40,2.26,2.47,2.22,2.34,2.60
15-Dec-20 05,2.38,2.24,2.49,2.22,2.33,2.60
15-Dec-20 06,2.40,2.25,2.53,2.22,2.35,2.60
15-Dec-20 07,2.38,2.25,2.50,2.22,2.34,2.60
15-Dec-20 08,2.39,2.25,2.45,2.22,2.33,2.60
15-Dec-20 09,2.37,2.26,2.51,2.22,2.34,2.60
15-Dec-20 10,2.38,2.26,2.44,2.22,2.32,2.60
15-Dec-20 11,2.37,2.25,2.49,2.22,2.33,2.60
15-Dec-20 12,2.37,2.25,2.49,2.22,2.33,2.60
15-Dec-20 13,2.36,2.25,2.47,2.22,2.32,2.60
15-Dec-20 14,2.37,2.23,2.45,2.22,2.32,2.60
15-Dec-20 15,2.36,2.25,2.49,2.22,2.33,2.60
15-Dec-20 16,2.36,2.25,2.45,2.22,2.32,2.60
15-Dec-20 17,2.36,2.23,2.44,2.22,2.31,2.60
15-Dec-20 18,2.36,2.24,2.47,2.22,2.32,2.60
15-Dec-20 19,2.36,2.24,2.46,2.22,2.32,2.60
15-Dec-20 20,2.36,2.23,2.42,2.22,2.31,2.60
15-Dec-20 21,2.35,2.23,2.44,2.22,2.31,2.60
15-Dec-20 22,2.35,2.24,2.45,2.22,2.31,2.60
15-Dec-20 23,2.34,2.23,2.43,2.22,2.30,2.60
16-Dec-20 00,2.36,2.22,2.43,2.22,2.31,2.60
16-Dec-20 01,2.34,2.22,2.44,2.22,2.30,2.60
16-Dec-20 02,2.36,2.22,2.43,2.22,2.31,2.60
16-Dec-20 03,2.35,2.21,2.42,2.22,2.30,2.60
16-Dec-20 04,2.35,2.22,2.42,2.22,2.30,2.60
16-Dec-20 05,2.34,2.22,2.42,2.22,2.30,2.60
16-Dec-20 06,2.35,2.21,2.42,2.22,2.30,2.60
16-Dec-20 07,2.34,2.21,2.42,2.22,2.30,2.60
16-Dec-20 08,2.35,2.22,2.42,2.22,2.30,2.60
16-Dec-20 09,2.33,2.20,2.42,2.22,2.29,2.60
16-Dec-20 10,2.35,2.21,2.42,2.22,2.30,2.60
16-Dec-20 11,2.33,2.22,2.43,2.26,2.31,2.60
16-Dec-20 12,2.34,2.21,2.42,2.28,2.31,2.60
16-Dec-20 13,2.33,2.20,2.46,2.29,2.32,2.59
16-Dec-20 14,2.34,2.21,2.46,2.27,2.32,2.59
16-Dec-20 15,2.33,2.20,2.44,2.29,2.31,2.59
16-Dec-20 16,2.33,2.20,2.43,2.28,2.31,2.59
16-Dec-20 17,2.32,2.21,2.46,2.28,2.32,2.59
16-Dec-20 18,2.33,2.21,2.43,2.28,2.31,2.59
16-Dec-20 19,2.32,2.19,2.43,2.29,2.31,2.59
16-Dec-20 20,2.32,2.20,2.44,2.26,2.30,2.59
16-Dec-20 21,2.31,2.20,2.43,2.29,2.31,2.59
16-Dec-20 22,2.32,2.20,2.41,2.28,2.30,2.59
16-Dec-20 23,2.32,2.20,2.45,2.26,2.31,2.59
17-Dec-20 00,2.32,2.20,2.43,2.27,2.30,2.59
17-Dec-20 01,2.31,2.19,2.41,2.29,2.30,2.59
17-Dec-20 02,2.32,2.19,2.43,2.26,2.30,2.59
17-Dec-20 03,2.31,2.20,2.44,2.27,2.30,2.59
17-Dec-20 04,2.32,2.19,2.40,2.28,2.30,2.59
17-Dec-20 05,2.31,2.19,2.42,2.27,2.30,2.59
17-Dec-20 06,2.31,2.19,2.43,2.26,2.30,2.59
17-Dec-20 07,2.31,2.19,2.41,2.28,2.30,2.59
17-Dec-20 08,2.31,2.18,2.39,2.27,2.29,2.59
17-Dec-20 09,2.30,2.19,2.43,2.27,2.30,2.59
17-Dec-20 10,2.31,2.18,2.40,2.27,2.29,2.59
17-Dec-20 11,2.30,2.18,2.41,2.28,2.29,2.57
17-Dec-20 12,2.31,2.18,2.42,2.26,2.29,2.57
17-Dec-20 13,2.30,2.18,2.42,2.28,2.29,2.57
17-Dec-20 14,2.31,2.17,2.40,2.27,2.29,2.57
17-Dec-20 15,2.30,2.18,2.43,2.26,2.29,2.57
17-Dec-20 16,2.30,2.18,2.41,2.26,2.29,2.56
17-Dec-20 17,2.30,2.17,2.41,2.27,2.29,2.56
17-Dec-20 18,2.30,2.17,2.41,2.26,2.28,2.56
17-Dec-20 19,2.29,2.18,2.41,2.26,2.28,2.56
17-Dec-20 20,2.30,2.17,2.39,2.27,2.28,2.56
17-Dec-20 21,2.29,2.17,2.40,2.27,2.28,2.56
17-Dec-20 22,2.30,2.18,2.41,2.26,2.29,2.56
17-Dec-20 23,2.30,2.18,2.40,2.27,2.29,2.56
18-Dec-20 00,2.29,2.17,2.39,2.26,2.28,2.56
18-Dec-20 01,2.29,2.17,2.41,2.25,2.28,2.55
18-Dec-20 02,2.29,2.17,2.40,2.25,2.28,2.56
18-Dec-20 03,2.28,2.16,2.39,2.27,2.27,2.55
18-Dec-20 04,2.30,2.16,2.40,2.25,2.28,2.55
18-Dec-20 05,2.29,2.17,2.41,2.26,2.28,2.56
18-Dec-20 06,2.29,2.17,2.38,2.26,2.27,2.55
18-Dec-20 07,2.29,2.16,2.40,2.26,2.28,2.55
18-Dec-20 08,2.28,2.16,2.40,2.26,2.27,2.55
18-Dec-20 09,2.29,2.16,2.38,2.27,2.27,2.55
18-Dec-20 10,2.29,2.16,2.40,2.26,2.28,2.55
18-Dec-20 11,2.28,2.16,2.40,2.26,2.27,2.55
18-Dec-20 12,2.28,2.16,2.38,2.27,2.27,2.55
18-Dec-20 13,2.28,2.16,2.39,2.26,2.27,2.56
18-Dec-20 14,2.27,2.16,2.39,2.25,2.27,2.55
18-Dec-20 15,2.28,2.16,2.39,2.27,2.27,2.55
18-Dec-20 16,2.28, ,2.38,2.25, , 
