Date,OSHKOSH,STOCKBRIDGE,FOND DU LAC,MENASHA,Average,POYGAN*
18-Dec-2020 00,2.29,2.17,2.39,2.26,2.28,2.56
18-Dec-2020 01,2.29,2.17,2.41,2.25,2.28,2.55
18-Dec-2020 02,2.29,2.17,2.40,2.25,2.28,2.56
18-Dec-2020 03,2.28,2.16,2.39,2.27,2.27,2.55
18-Dec-2020 04,2.30,2.16,2.40,2.25,2.28,2.55
18-Dec-2020 05,2.29,2.17,2.41,2.26,2.28,2.56
18-Dec-2020 06,2.29,2.17,2.38,2.26,2.27,2.55
18-Dec-2020 07,2.29,2.16,2.40,2.26,2.28,2.55
18-Dec-2020 08,2.28,2.16,2.40,2.26,2.27,2.55
18-Dec-2020 09,2.29,2.16,2.38,2.27,2.27,2.55
18-Dec-2020 10,2.29,2.16,2.40,2.26,2.28,2.55
18-Dec-2020 11,2.28,2.16,2.40,2.26,2.27,2.55
18-Dec-2020 12,2.28,2.16,2.38,2.27,2.27,2.55
18-Dec-2020 13,2.28,2.16,2.39,2.26,2.27,2.56
18-Dec-2020 14,2.27,2.16,2.39,2.25,2.27,2.55
18-Dec-2020 15,2.28,2.16,2.39,2.27,2.27,2.55
18-Dec-2020 16,2.28, ,2.38,2.25, , 
