Date,OSHKOSH,STOCKBRIDGE,FOND DU LAC,MENASHA,Average,POYGAN*
12-Dec-20 00,2.50,2.12,2.89,2.03,2.38,2.73
12-Dec-20 01,2.48,2.15,2.92,2.05,2.40,2.76
12-Dec-20 02,2.48,2.12,2.81,2.09,2.38,2.77
12-Dec-20 03,2.49,2.10,2.95,2.05,2.40,2.75
12-Dec-20 04,2.49,2.12,3.07,1.96,2.41,2.71
12-Dec-20 05,2.49,2.11,3.00,2.02,2.40,2.76
12-Dec-20 06,2.49,2.08,3.02,1.99,2.39,2.73
12-Dec-20 07,2.48,2.05,3.17,1.90,2.40,2.72
12-Dec-20 08,2.47,2.04,3.34,1.85,2.42,2.70
12-Dec-20 09,2.49,2.05,3.41,1.80,2.44,2.70
12-Dec-20 10,2.43,2.08,3.51,1.86,2.47,2.69
12-Dec-20 11,2.44,2.12,3.41,1.85,2.45,2.72
12-Dec-20 12,2.37,2.18,3.32,2.00,2.47,2.71
12-Dec-20 13,2.39,2.15,3.12,2.02,2.42,2.72
12-Dec-20 14,2.38,2.16,3.21,2.00,2.44,2.69
12-Dec-20 15,2.39,2.20,3.16,2.00,2.44,2.68
12-Dec-20 16,2.38,2.22,2.96,2.12,2.42,2.69
12-Dec-20 17,2.39,2.23,2.86,2.11,2.40,2.70
12-Dec-20 18,2.36,2.27,2.84,2.20,2.42,2.68
12-Dec-20 19,2.40,2.24,2.62,2.22,2.37,2.69
12-Dec-20 20,2.37,2.23,2.76,2.23,2.40,2.66
12-Dec-20 21,2.40,2.27,2.78,2.19,2.41,2.65
12-Dec-20 22,2.36,2.28,2.66,2.31,2.40,2.64
12-Dec-20 23,2.40,2.26,2.59,2.31,2.39,2.65
13-Dec-20 00,2.39,2.28,2.73,2.29,2.42,2.64
13-Dec-20 01,2.40,2.28,2.60,2.31,2.40,2.64
13-Dec-20 02,2.37,2.28,2.58,2.38,2.40,2.63
13-Dec-20 03,2.40,2.30,2.61,2.30,2.40,2.65
13-Dec-20 04,2.39,2.32,2.58,2.34,2.41,2.65
13-Dec-20 05,2.40,2.29,2.45,2.40,2.38,2.63
13-Dec-20 06,2.40,2.30,2.57,2.36,2.41,2.64
13-Dec-20 07,2.41,2.32,2.54,2.33,2.40,2.64
13-Dec-20 08,2.39,2.30,2.49,2.40,2.39,2.64
13-Dec-20 09,2.40,2.30,2.51,2.36,2.39,2.64
13-Dec-20 10,2.38,2.32,2.55,2.37,2.40,2.65
13-Dec-20 11,2.39,2.30,2.45,2.40,2.38,2.65
13-Dec-20 12,2.39,2.29,2.53,2.38,2.40,2.65
13-Dec-20 13,2.40,2.31,2.56,2.33,2.40,2.65
13-Dec-20 14,2.39,2.32,2.47,2.39,2.39,2.66
13-Dec-20 15,2.39,2.31,2.43,2.40,2.38,2.67
13-Dec-20 16,2.39,2.33,2.47,2.39,2.39,2.66
13-Dec-20 17,2.38,2.35,2.41,2.42,2.39,2.67
13-Dec-20 18,2.37,2.34,2.38,2.45,2.38,2.68
13-Dec-20 19,2.36,2.35,2.46,2.39,2.39,2.67
13-Dec-20 20,2.35,2.36,2.44,2.38,2.38,2.68
13-Dec-20 21,2.34,2.32,2.46,2.38,2.38,2.66
13-Dec-20 22,2.39,2.37,2.49,2.36,2.40,2.71
13-Dec-20 23,2.34,2.33,2.47,2.41,2.39,2.68
14-Dec-20 00,2.38,2.30,2.49,2.30,2.37,2.65
14-Dec-20 01,2.31,2.35,2.68,2.26,2.40,
14-Dec-20 02,2.33,2.32,2.57,2.28,2.38,
14-Dec-20 03,2.30,2.32,2.60,2.34,2.39,
14-Dec-20 04,2.37,2.36,2.58,2.27,2.39,
14-Dec-20 05,2.36,2.35,2.49,2.36,2.39,2.61
14-Dec-20 06,2.38,2.31,2.49,2.33,2.38,2.61
14-Dec-20 07,2.34,2.34,2.67,2.28,2.41,2.59
14-Dec-20 08,2.36,,2.50,2.30,2.38,2.59
14-Dec-20 09,2.32,,2.58,2.33,2.40,2.59
14-Dec-20 10,2.34,,2.53,2.20,2.35,2.59
14-Dec-20 11,2.31,2.34,2.72,2.20,2.39,2.59
14-Dec-20 12,2.32,2.31,2.54,2.27,2.36,2.59
14-Dec-20 13,2.29,2.29,2.65,2.32,2.39,2.58
14-Dec-20 14,2.36,2.32,2.71,2.24,2.41,2.57
14-Dec-20 15,2.35,2.32,2.61,2.34,2.40,2.58
14-Dec-20 16,2.38,2.30,2.54,2.33,2.39,2.58
14-Dec-20 17,2.35,2.32,2.61,2.31,2.40,2.58
14-Dec-20 18,2.39,2.30,2.47,2.33,2.37,2.58
14-Dec-20 19,2.37,2.27,2.55,2.34,2.38,2.59
14-Dec-20 20,2.40,2.29,2.60,2.24,2.38,2.59
14-Dec-20 21,2.34,2.31,2.57,2.29,2.38,2.59
14-Dec-20 22,2.37,2.28,2.46,2.27,2.34,2.60
14-Dec-20 23,2.35,2.25,2.62,2.26,2.37,2.60
15-Dec-20 00,2.38,2.27,2.58,2.21,2.36,2.60
15-Dec-20 01,2.35,2.26,2.56,2.22,2.35,2.60
15-Dec-20 02,2.39,2.23,2.49,2.22,2.33,2.60
15-Dec-20 03,2.38,2.26,2.61,2.22,2.37,2.60
15-Dec-20 04,2.40,2.26,2.47,2.22,2.34,2.60
15-Dec-20 05,2.38,2.24,2.49,2.22,2.33,2.60
15-Dec-20 06,2.40,2.25,2.53,2.22,2.35,2.60
15-Dec-20 07,2.38,2.25,2.50,2.22,2.34,2.60
15-Dec-20 08,2.39,2.25,2.45,2.22,2.33,2.60
15-Dec-20 09,2.37,2.26,2.51,2.22,2.34,2.60
15-Dec-20 10,2.38,2.26,2.44,2.22,2.32,2.60
15-Dec-20 11,2.37,2.25,2.49,2.22,2.33,2.60
15-Dec-20 12,2.37,2.25,2.49,2.22,2.33,2.60
15-Dec-20 13,2.36,2.25,2.47,2.22,2.32,2.60
15-Dec-20 14,2.37, ,2.45,2.22, , 
