Date,OSHKOSH,STOCKBRIDGE,FOND DU LAC,MENASHA,Average,POYGAN*
15-Dec-2020 00,2.38,2.27,2.58,2.21,2.36,2.60
15-Dec-2020 01,2.35,2.26,2.56,2.22,2.35,2.60
15-Dec-2020 02,2.39,2.23,2.49,2.22,2.33,2.60
15-Dec-2020 03,2.38,2.26,2.61,2.22,2.37,2.60
15-Dec-2020 04,2.40,2.26,2.47,2.22,2.34,2.60
15-Dec-2020 05,2.38,2.24,2.49,2.22,2.33,2.60
15-Dec-2020 06,2.40,2.25,2.53,2.22,2.35,2.60
15-Dec-2020 07,2.38,2.25,2.50,2.22,2.34,2.60
15-Dec-2020 08,2.39,2.25,2.45,2.22,2.33,2.60
15-Dec-2020 09,2.37,2.26,2.51,2.22,2.34,2.60
15-Dec-2020 10,2.38, ,2.44,2.22, ,2.60
