Date,OSHKOSH,STOCKBRIDGE,FOND DU LAC,MENASHA,Average,POYGAN*
07-Dec-2020 00,2.44,2.29,2.66,2.31,2.42,2.75
07-Dec-2020 01,2.42,2.32,2.73,2.32,2.45,2.74
07-Dec-2020 02,2.42,2.31,2.59,2.38,2.42,2.74
07-Dec-2020 03,2.43,2.30,2.60,2.38,2.43,2.74
07-Dec-2020 04,2.44,2.31,2.64,2.32,2.43,2.74
07-Dec-2020 05,2.41,2.31,2.59,2.39,2.42,2.74
07-Dec-2020 06,2.44,2.29,2.55,2.37,2.41,2.74
07-Dec-2020 07,2.42,2.31,2.65,2.35,2.43,2.73
07-Dec-2020 08,2.44,2.30,2.55,2.36,2.41,2.73
07-Dec-2020 09,2.42,2.30,2.58,2.41,2.43,2.73
07-Dec-2020 10,2.44,2.32,2.60,2.34,2.42,2.73
07-Dec-2020 11,2.41,2.32,2.57,2.41,2.43,2.73
07-Dec-2020 12,2.43,2.30,2.52,2.40,2.41,2.73
07-Dec-2020 13,2.40,2.32,2.62,2.38,2.43,2.73
07-Dec-2020 14,2.41, ,2.55,2.38, ,2.73
