Date,FondDuLac,Berlin,Poygan,Waupaca,Royalton,NewLondon,FritsePark,Menasha,Oshkosh,Stockbridge
01-Nov-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02-Nov-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03-Nov-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04-Nov-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05-Nov-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06-Nov-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
07-Nov-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
08-Nov-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09-Nov-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00
10-Nov-2020,1.12,1.49,1.34,1.98,1.79,2.09,1.27,1.31,1.56,1.61
11-Nov-2020,0.01,0.01,0.13,0.11,0.08,0.14,0.00,0.01,0.00,0.00
12-Nov-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13-Nov-2020,0.05,0.03,0.14,0.05,0.05,0.06,0.08,0.05,0.11,0.01
14-Nov-2020,0.01,0.02,0.04,0.08,0.06,0.04,0.02,0.03,0.00,0.03
15-Nov-2020,0.28,0.22,0.40,0.48,0.47,0.43,0.41,0.34,0.25,0.22
16-Nov-2020,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
17-Nov-2020,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
18-Nov-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19-Nov-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.00
20-Nov-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21-Nov-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22-Nov-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23-Nov-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24-Nov-2020,0.40,0.32,0.26,0.18,0.04,0.25,0.17,0.26,0.15,0.19
25-Nov-2020,0.06,0.08,0.09,0.08,0.13,0.05,0.03,0.03,0.06,0.08
26-Nov-2020,0.02,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,0.00
27-Nov-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28-Nov-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29-Nov-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30-Nov-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
