Date,FondDuLac,Berlin,Poygan,Waupaca,Royalton,New London,Fritse Park,Menasha,Oshkosh,Stockbridge
09-Dec-2020 00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09-Dec-2020 01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09-Dec-2020 02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09-Dec-2020 03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09-Dec-2020 04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09-Dec-2020 05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09-Dec-2020 06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09-Dec-2020 07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09-Dec-2020 08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09-Dec-2020 09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09-Dec-2020 10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09-Dec-2020 11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09-Dec-2020 12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09-Dec-2020 13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09-Dec-2020 14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09-Dec-2020 15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09-Dec-2020 16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09-Dec-2020 17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09-Dec-2020 18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09-Dec-2020 19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09-Dec-2020 20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09-Dec-2020 21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09-Dec-2020 22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09-Dec-2020 23, , ,0.00, , , , , , , 
