Date,FondDuLac,Berlin,Poygan,Waupaca,Royalton,New London,Fritse Park,Menasha,Oshkosh,Stockbridge
07-Jan-2021 00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
07-Jan-2021 01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
07-Jan-2021 02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
07-Jan-2021 03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
07-Jan-2021 04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
07-Jan-2021 05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
07-Jan-2021 06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
07-Jan-2021 07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
07-Jan-2021 08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
07-Jan-2021 09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
07-Jan-2021 10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
07-Jan-2021 11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
07-Jan-2021 12,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
07-Jan-2021 13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
07-Jan-2021 14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
07-Jan-2021 15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
07-Jan-2021 16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
07-Jan-2021 17,0.00,0.00,0.00, ,0.00, ,0.00,0.00,0.00, 
07-Jan-2021 18, , ,0.00, , , , , , , 
